Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,855,828,986,1012,1089,750,1501,0.0,False
jmeter_view_page:open_page,7077,263,252,320,347,415,185,866,0.0,False
jmeter_view_dashboard,1223,796,782,875,911,1040,697,2104,0.0,False
jmeter_comment_page,915,72,69,83,90,129,59,198,0.0,False
jmeter_view_attachment,615,201,193,245,271,358,147,862,0.0,False
jmeter_view_blog,1527,448,431,617,710,1055,210,1618,0.0,False
jmeter_create_and_edit_page:create_page_editor,1064,159,153,174,191,245,132,690,0.0,False
jmeter_create_and_edit_page:create_page,1055,316,306,356,379,454,269,891,0.0,False
jmeter_create_and_edit_page:open_editor,1055,52,50,55,64,121,43,322,0.0,False
jmeter_search_cql:recently_viewed,1369,15,14,18,20,52,7,100,0.0,False
jmeter_search_cql:search_results,1367,449,440,517,547,633,321,812,0.0,False
jmeter_create_blog:blog_editor,452,176,170,190,207,284,145,451,0.0,False
jmeter_create_blog:feel_and_publish,452,329,321,363,388,465,283,510,0.0,False
jmeter_create_and_edit_page:edit_page,1044,360,350,395,417,481,305,1804,0.0,False
jmeter_upload_attachment,746,358,332,455,512,597,253,1817,0.0,False
jmeter_like_page,296,26,20,39,42,63,16,83,0.0,False
selenium_login:open_login_page,378,118,116,121,123,195,108,396,0.0,False
selenium_login:login_and_view_dashboard,378,279,277,311,317,353,237,713,0.0,False
selenium_login,378,469,465,501,513,585,422,1189,0.0,False
selenium_view_page,378,382,354,483,521,728,268,1226,0.0,False
selenium_create_page:open_create_page_editor,378,685,678,751,765,845,548,2228,0.0,False
selenium_create_page:save_created_page,378,601,599,621,629,640,558,812,0.0,False
selenium_create_page,378,1400,1389,1471,1492,1612,1261,3137,0.0,False
selenium_edit_page:open_create_page_editor,378,1587,1606,2216,2365,2713,931,3105,0.0,False
selenium_edit_page:save_edited_page,378,751,698,918,1143,1301,595,1458,0.0,False
selenium_edit_page,378,2359,2566,3112,3248,3612,1608,4029,0.0,False
selenium_create_comment:write_comment,378,617,646,744,773,822,216,2143,0.0,False
selenium_create_comment:save_comment,378,434,605,646,652,659,119,664,0.0,False
selenium_create_comment,378,1386,1495,1695,1826,1941,705,3183,0.0,False
selenium_view_blog,378,703,693,983,1241,1422,337,1593,0.0,False
selenium_view_dashboard,378,248,260,297,303,354,161,377,0.0,False
selenium_log_out,378,107,106,112,113,138,97,177,0.0,False
